Growth_Firm,question_2_row_1_transformed,question_2_row_2_transformed,question_3_row_1,question_3_row_2,question_3_row_3,question_3_row_4,question_3_row_5,question_3_row_6,question_3_row_7,question_3_row_8,question_3_row_9,question_3_row_10,question_3_row_11,question_3_row_12,question_3_row_13,question_3_row_14,question_3_row_15,question_3_row_16,question_4_row_1,question_4_row_2,question_4_row_3,question_4_row_4,question_5_row_1,question_5_row_2,question_5_row_3,question_5_row_4,question_5_row_5,question_5_row_6,question_5_row_7,question_5_row_8,question_5_row_9,question_5_row_10,question_6_row_1,question_6_row_2,question_7_row_1,size_metric
0,35.13513514,50.75093913,4,5,5,4,3,3,4,4,4,2,2,2,2,4,4,3,4,4,4,4,1,1,2,4,2,4,2,3,2,5,4,5,1,5.08
0,23.01804265,51.18220034,5,4,4,4,4,4,4,5,5,4,2,4,2,4,4,3,4,3,3,4,4,4,2,3,4,3,3,3,4,3,5,4,1,5.12
0,86.64047151,62.93263853,3,4,4,4,4,3,4,5,3,3,3,5,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4, , ,5,3,1,6.29
0,17.64705882,39.13043478,3,4,5,4,4,4,5,5,3,3,4,5,4,4,5,3,4,3,3,3,3,2,3,3,3,4,4,4,3,3,3,3,1,3.91
0,60,32.80212483,4,4,4,4,3,4,4,4,5,5,2,3,1,2,4,2,4,2,2,2,2,2,2,4,2,4,2,3,3,4,5,2,2,3.28
0,-1.295496607,17.71063516,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,3,5,1,1.77
0,12.2754491,64.6231447,4,5,5,5,4,5,3,4,5,4,3,5,3,4,3,2,4,4,4,3,4,5,3,4,5,5,5,5, , ,5,4,2,6.46
0,66.66666667,68.68147315,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,2,3,2,4,3,2, , ,5,3,2,6.87
0,9.375,34.45378151,5,5,5,4,3,4,4,3,5,5,3,4,4,3,4,3,4,4,3,5,5,5,4,3,4,3,4,3,4,3,4,4,2,3.45
0,506.0606061,689.2659826,4,5,5,5,5,5,5,4,4,4,3,3,3,3,4,4,4,5,4,3,3,4,5,4,5,5,4,4,4,4,5,5,1,68.93
0,26.98412698,29.92412431,4,2,4,4,4,4,4,2,4,4,2,2,2,4,4,2,4,4,4,4,4,2,4,2,4,5,5,5,4,4,2,4,1,2.99
0,20,16.55011655,4,5,4,4,3,4,4,3,3,3,3,3,3,2,2,2,4,2,3,2,4,3,3,4,5,4,4,3, , ,2,2,1,1.66
0,16.07142857,49.44704593,3,3,4,4,4,4,4,4,5,3,4,4,4,4,5,4,4,4,4,4,3,3,3,4,4,4,4,3,4,5,5,4,1,4.94
0,81.81818182,28.79958784,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,3,2,4,4,3,4,4,5,5,1,2.88
0,50,28.04097311,5,4,4,3,4,3,4,4,4,4,3,4,4,3,4,4,5,5,4,5,3,2,2,3,2,3,3,3, , ,3,3,1,2.80
0,76.47058824,60.64257028,3,4,5,3,3,3,4,3,3,3,2,3,2,2,4,3,2,2,2,2,3,3,3,3,3,4,3,2,3,2,4,2,2,6.06
0,96.8503937,326.4954316,5,5,5,5,3,4,3,4,4,3,5,5,4,3,4,3,4,4,3,3,4,4,3,4,4,4,4,4,3,4,5,5,2,32.65
0,247.826087,215.4885972,4,4,5,4,4,4,3,4,4,3,4,2,3,3,4,2,3,3,2,1,3,4,3,4,2,4,4,5,4,4,4,2,1,21.55
0,31.57894737,90.96117123,5,5,5,5,4,4,4,4,4,3,3,5,4,3,4,3,4,4,3,4,4,4,3,4,3,3,4,4, , ,4,4,2,9.10
0,42.85714286,48.72099941,2,4,4,1,4,4,4,2,3,3,5,3,3,2,4,1,2,1,1,2,1,1,4,2,2,2,4,4, , ,2,1,1,4.87
0,-1.960784314,-9.633110428,4,4,5,4,4,5,4,3,3,3,2,3,2,2,4,3,4,3,3,3,2,2,3,3,2,2,3,2,2,3,3,3,1,-0.96
0,6.382978723,67.20543975,3,4,4,4,4,3,4,4,4,3,4,3,2,3,3,3,2,2,1,1,3,4,3,3,3,5,3,3,4,5,2,4,1,6.72
0,100,85.18518519,4,4,5,5,4,4,5,4,3,3,2,3,2,4,4,3,1,1,1,1,2,3,2,3,2,3,3,2,4,4,3,3,1,8.52
0,76.47058824,121.141088,4,5,4,5,4,4,4,5,4,4,3,4,3,4,4,4,4,3,4,3,4,3,2,4,4,5,4,4, , ,4,5,2,12.11
0,7.142857143,455.5555556,5,5,5,5,5,5,5,5,5,4,5,3,2,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,3,2,45.56
0,311.7647059,599.790063,2,4,4,4,4,4,4,3,3,2,3,4,3,3,3,2,3,4,3,4,4,5,3,3,2,5,4,3,5,5,3,3,1,59.98
0,25,81.71906233,2,4,3,4,3,2,2,4,3,4,4,4,3,4,3,3,2,4,3,3,4,3,3,4,3,2,3,3, , ,4,3,1,8.17
0,185.7142857,452.4861878,4,5,4,4,4,4,5,5,4,4,1,3,1,4,4,5,5,4,3,1,4,4,3,4,4,5,5,3,4,5,4,4,2,45.25
